Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSDARG00000063344	fam162a	family with sequence similarity 162, member A [Source:ZFIN;Acc:ZDB-GENE-030131-8307]	24	20927135	20934666	1
ENSDARG00000097685	si:ch211-235i11.3	si:ch211-235i11.3 [Source:ZFIN;Acc:ZDB-GENE-131125-9]	17	50460321	50472985	-1
ENSDARG00000036008	caly	calcyon neuron-specific vesicular protein [Source:ZFIN;Acc:ZDB-GENE-090313-405]	1	49266886	49295059	1
ENSDARG00000069301	tmem177	transmembrane protein 177 [Source:ZFIN;Acc:ZDB-GENE-030131-993]	9	29034221	29039506	-1
ENSDARG00000104901	ostc	oligosaccharyltransferase complex subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1079]	7	59169081	59176338	1
ENSDARG00000031836	vps37c	vacuolar protein sorting 37 homolog C (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-061110-126]	1	44949909	44963259	1
ENSDARG00000103391	rab9b	RAB9B, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-091118-112]	14	14603731	14607855	-1
ENSDARG00000030463	tppp3	tubulin polymerization-promoting protein family member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1909]	7	35229645	35243976	1
ENSDARG00000103031	znf1029	zinc finger protein 1029 [Source:ZFIN;Acc:ZDB-GENE-110914-6]	4	55507920	55592720	-1
ENSDARG00000070447	slc39a9	solute carrier family 39, member 9 [Source:ZFIN;Acc:ZDB-GENE-060314-3]	17	48126944	48157178	1
ENSDARG00000080018	kif16bb	kinesin family member 16Bb [Source:ZFIN;Acc:ZDB-GENE-070424-241]	13	34627550	34683370	-1
ENSDARG00000036109	mtx1b	metaxin 1b [Source:ZFIN;Acc:ZDB-GENE-021210-1]	19	24448584	24484758	-1
ENSDARG00000029612	gpkow	G patch domain and KOW motifs [Source:ZFIN;Acc:ZDB-GENE-030616-159]	8	36591791	36618073	-1
ENSDARG00000075759	samd4a	sterile alpha motif domain containing 4A [Source:ZFIN;Acc:ZDB-GENE-070720-7]	17	15033822	15117508	1
ENSDARG00000068484	CABZ01100185.1		11	44324761	44335322	1
ENSDARG00000057635	wdr34	WD repeat domain 34 [Source:ZFIN;Acc:ZDB-GENE-070928-9]	21	13217896	13225402	-1
ENSDARG00000032737	gria3a	glutamate receptor, ionotropic, AMPA 3a [Source:ZFIN;Acc:ZDB-GENE-020125-5]	5	23353570	23429228	-1
ENSDARG00000053517	EML5	echinoderm microtubule associated protein like 5 [Source:HGNC Symbol;Acc:HGNC:18197]	17	43039463	43287290	-1
ENSDARG00000111826	zgc:174354	zgc:174354 [Source:ZFIN;Acc:ZDB-GENE-080218-8]	11	12450564	12452482	-1
ENSDARG00000098335	BX537137.2		4	36875204	36875984	1
ENSDARG00000092715	CR847503.1	fibrinogen silencer-binding protein-like [Source:NCBI gene;Acc:108190967]	8	26220175	26229796	-1
ENSDARG00000095834	AL954317.1		1	46250113	46251822	1
ENSDARG00000015793	creb3l1	cAMP responsive element binding protein 3-like 1 [Source:ZFIN;Acc:ZDB-GENE-030219-181]	7	38897836	38954874	1
ENSDARG00000044573	cdc42	cell division cycle 42 [Source:ZFIN;Acc:ZDB-GENE-030131-8783]	11	39120306	39148199	1
ENSDARG00000025206	syt2a	synaptotagmin IIa [Source:ZFIN;Acc:ZDB-GENE-060503-315]	23	6232895	6313808	1
ENSDARG00000042189	tspan33b	tetraspanin 33b [Source:ZFIN;Acc:ZDB-GENE-060503-607]	18	10967461	10995410	-1
ENSDARG00000076270	adamts13	ADAM metallopeptidase with thrombospondin type 1 motif, 13 [Source:ZFIN;Acc:ZDB-GENE-070814-7]	8	45226586	45279411	-1
ENSDARG00000045415	gnal	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type [Source:ZFIN;Acc:ZDB-GENE-041114-26]	24	8904135	8973300	1
ENSDARG00000100099	si:dkey-238o14.1	si:dkey-238o14.1 [Source:ZFIN;Acc:ZDB-GENE-081103-10]	4	36473781	36484943	-1
ENSDARG00000087916	tmem240a	transmembrane protein 240a [Source:ZFIN;Acc:ZDB-GENE-090313-306]	23	24571812	24582606	-1
ENSDARG00000023058	foxo3a	forkhead box O3A [Source:ZFIN;Acc:ZDB-GENE-050116-1]	17	6793001	6810785	1
ENSDARG00000100738	osmr	oncostatin M receptor [Source:ZFIN;Acc:ZDB-GENE-060526-48]	5	8492640	8526105	1
ENSDARG00000097888	BX293559.1		15	11097869	11099720	-1
ENSDARG00000067711	parvg	parvin, gamma [Source:ZFIN;Acc:ZDB-GENE-070410-67]	25	5068442	5084539	1
ENSDARG00000091834	si:ch211-198m17.1	si:ch211-198m17.1 [Source:ZFIN;Acc:ZDB-GENE-131127-451]	3	38705425	38745598	-1
